Date,Close,High,Low,Open,Volume,Daily Return,7 Day MA
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,
2026-03-17,2391.699951171875,2420.0,2360.0,2420.0,2993367,-0.011694235052944216,
2026-03-18,2440.800048828125,2482.89990234375,2410.0,2410.0,3082388,0.012780103248184647,
2026-03-19,2356.0,2424.0,2350.199951171875,2417.0,2757060,-0.025237898220935043,
2026-03-20,2390.60009765625,2407.800048828125,2364.199951171875,2386.0,4206320,0.0019279537536672255,
2026-03-23,2383.800048828125,2406.800048828125,2348.0,2365.0,3860515,0.007949280688424947,
2026-03-24,2398.800048828125,2435.39990234375,2379.10009765625,2404.10009765625,3420182,-0.002204587418507242,
2026-03-25,2377.39990234375,2421.60009765625,2369.800048828125,2400.89990234375,5843778,-0.00978799656622893,2391.3000139508927
2026-03-27,2389.800048828125,2422.10009765625,2385.0,2403.89990234375,4979411,-0.005865407915644886,2391.0285993303573
2026-03-30,2358.89990234375,2398.0,2346.199951171875,2375.10009765625,6804756,-0.006820847394384077,2379.3285784040177
2026-04-01,2408.199951171875,2472.0,2397.89990234375,2429.0,4132661,-0.008563214832492795,2386.785714285714
2026-04-02,2450.699951171875,2469.89990234375,2375.699951171875,2386.0,5378361,0.027116492528028082,2395.371407645089
2026-04-06,2473.89990234375,2482.0,2448.199951171875,2474.0,2572417,-4.045984488682296e-05,2408.2428152901784
2026-04-07,2539.800048828125,2543.89990234375,2448.0,2461.0,4516550,0.03201952410732426,2428.385672433036
2026-04-08,2559.199951171875,2580.300048828125,2540.10009765625,2572.0,4769337,-0.004976690835196345,2454.357107979911
2026-04-09,2589.0,2605.0,2531.10009765625,2554.0,5628261,0.01370399373531715,2482.8142438616073
2026-04-10,2524.300048828125,2565.800048828125,2501.10009765625,2565.800048828125,10480239,-0.016174292310483916,2506.4428362165177
2026-04-13,2472.60009765625,2504.89990234375,2470.0,2489.89990234375,3739587,-0.006947992034224204,2515.6428571428573
2026-04-15,2554.89990234375,2559.0,2493.39990234375,2501.89990234375,5261384,0.02118390106268849,2530.528564453125
2026-04-16,2576.89990234375,2594.0,2558.0,2572.0,3905403,0.0019050942238530327,2545.242850167411
2026-04-17,2581.5,2589.0,2555.89990234375,2570.0,2718206,0.004474708171206225,2551.1999860491073
